Wavelength,Intensity
722,8.0510997772217
723,8.4223003387451
724,8.5895004272461
725,8.5777997970581
726,8.3954000473022
727,8.0444002151489
728,7.5322999954224
729,6.8747000694275
730,6.1038999557495
731,5.2600002288818
732,4.4001998901367
733,3.5810000896454
734,2.8550000190735
735,2.2697999477386
736,1.869500041008
737,1.6597000360489
738,1.6259000301361
739,1.725800037384
740,1.9121999740601
741,2.1514000892639
742,2.4077000617981
743,2.6438999176025
744,2.8417000770569
745,2.990700006485
746,3.0892000198364
747,3.1398000717163
748,3.137099981308
749,3.0783998966217
750,2.9642000198364
751,2.7992000579834
752,2.5945999622345
753,2.3631999492645
754,2.1210999488831
755,1.8824000358582
756,1.6601999998093
757,1.4607000350952
758,1.2853000164032
759,1.1309000253677
760,0.9941800236702
761,0.87107998132706
762,0.75955998897552
763,0.65966999530792
764,0.57371997833252
765,0.50203001499176
766,0.44201999902725
767,0.38414999842644
768,0.34172999858856
769,0.32317999005318
770,0.33766999840736
771,0.36127999424934
772,0.38108000159264
773,0.40404000878334
774,0.44016000628471
775,0.44927999377251
776,0.42188000679016
777,0.2929300069809
778,0.23238000273705
779,0.20248000323772
780,0.27996000647545
